model,split_policy,group_type,group,n,ade_meters,fde_meters,rmse_meters,mae_meters
ridge_lstsq,vessel_disjoint_test,turn_bin,turn_0_5,12854,3798.8854622660374,8221.89625029456,3546.9190407465476,2378.076348453611
ridge_lstsq,vessel_disjoint_test,turn_bin,turn_15_45,5810,2535.6478742224504,4040.5034172174146,2316.1381452442524,1586.5757285247655
ridge_lstsq,vessel_disjoint_test,turn_bin,turn_45_180,4085,3968.8571216391806,5477.292622884218,3210.78660077194,2449.2190595712477
ridge_lstsq,vessel_disjoint_test,turn_bin,turn_5_15,4962,3172.365980939697,5556.578203336652,2789.948572120574,1990.1327967743334
tcn_baseline,vessel_disjoint_test,region,east_gulf_coast,22030,26572.647342467502,27858.176833252353,19287.183654373384,16326.67684425587
tcn_baseline,vessel_disjoint_test,region,hawaii_pacific,274,81034.10004612147,79766.31860296853,57333.80818793193,53388.49272013589
tcn_baseline,vessel_disjoint_test,region,other,770,67527.50802940669,70642.35695098956,48370.11804957045,39165.83199676254
tcn_baseline,vessel_disjoint_test,region,west_coast,4637,53966.82875423626,56655.76132847055,38338.41637736765,33576.92053015936
tcn_baseline,vessel_disjoint_test,speed_bin,sog_0_2,19932,28703.17546687615,29390.394855012106,20722.853264090743,17801.547478773206
tcn_baseline,vessel_disjoint_test,speed_bin,sog_15_50,475,68876.01934423872,80945.95836728446,50538.07212995948,41407.97663379136
tcn_baseline,vessel_disjoint_test,speed_bin,sog_2_8,4971,34423.746122554396,36250.911596961785,24546.910279389518,21140.12570752193
tcn_baseline,vessel_disjoint_test,speed_bin,sog_8_15,2333,57390.006821142895,63530.65796960316,41384.55227986682,34540.16754396921
tcn_baseline,vessel_disjoint_test,turn_bin,turn_0_5,12854,33943.71692316458,36307.40587056403,24330.667065555484,20792.28992774601
tcn_baseline,vessel_disjoint_test,turn_bin,turn_15_45,5810,31413.6865667036,32085.46629148015,22671.739219752584,19355.354793156977
tcn_baseline,vessel_disjoint_test,turn_bin,turn_45_180,4085,32355.677782541057,33324.936419635655,23704.095559412755,19993.453995997363
tcn_baseline,vessel_disjoint_test,turn_bin,turn_5_15,4962,32011.312063411424,32937.25666630418,23040.28966177917,19904.68427387982
transformer_baseline,vessel_disjoint_test,region,east_gulf_coast,22030,36788.28322743224,35459.86099909507,27803.01065864134,23267.24103766654
transformer_baseline,vessel_disjoint_test,region,hawaii_pacific,274,90528.50131772511,62260.32567110198,68423.49024075424,53726.680947152585
transformer_baseline,vessel_disjoint_test,region,other,770,121356.85533979046,68058.4237870011,100426.17720764106,72202.25475946885
transformer_baseline,vessel_disjoint_test,region,west_coast,4637,83936.6432124282,90895.86020726303,60394.85171336844,54526.492603841645
